model,outer_fold,threshold,inner_f1,inner_precision,inner_recall,inner_balanced_accuracy
linear_svc,0,0.51,0.5433526011560693,0.8703703703703703,0.3949579831932773,0.6951157235345184
linear_svc,0,0.52,0.5348837209302325,0.8679245283018868,0.3865546218487395,0.6909140428622496
linear_svc,0,0.53,0.5380116959064327,0.8846153846153846,0.3865546218487395,0.6912516525854095
linear_svc,0,0.54,0.5411764705882353,0.9019607843137255,0.3865546218487395,0.6915892623085697
linear_svc,0,0.55,0.5325443786982249,0.9,0.37815126050420167,0.6873875816363006
linear_svc,0,0.56,0.5269461077844312,0.9166666666666666,0.3697478991596639,0.6835235106871919
linear_svc,0,0.57,0.5180722891566265,0.9148936170212766,0.36134453781512604,0.679321830014923
linear_svc,0,0.58,0.5180722891566265,0.9148936170212766,0.36134453781512604,0.679321830014923
linear_svc,0,0.59,0.509090909090909,0.9130434782608695,0.35294117647058826,0.6751201493426541
linear_svc,0,0.6,0.509090909090909,0.9130434782608695,0.35294117647058826,0.6751201493426541
linear_svc,0,0.61,0.48148148148148145,0.9069767441860465,0.3277310924369748,0.6625151073258473
linear_svc,0,0.62,0.4720496894409938,0.9047619047619048,0.31932773109243695,0.6583134266535784
linear_svc,0,0.63,0.46540880503144655,0.925,0.31092436974789917,0.6544493557044695
linear_svc,0,0.64,0.445859872611465,0.9210526315789473,0.29411764705882354,0.6460459943599317
linear_svc,0,0.65,0.445859872611465,0.9210526315789473,0.29411764705882354,0.6460459943599317
linear_svc,0,0.66,0.4155844155844156,0.9142857142857143,0.2689075630252101,0.6334409523431249
linear_svc,0,0.67,0.4155844155844156,0.9142857142857143,0.2689075630252101,0.6334409523431249
linear_svc,0,0.68,0.4155844155844156,0.9142857142857143,0.2689075630252101,0.6334409523431249
linear_svc,0,0.69,0.3841059602649007,0.90625,0.24369747899159663,0.6208359103263182
linear_svc,0,0.7,0.37333333333333335,0.9032258064516129,0.23529411764705882,0.6166342296540493
linear_svc,0,0.71,0.37333333333333335,0.9032258064516129,0.23529411764705882,0.6166342296540493
linear_svc,0,0.72,0.36486486486486486,0.9310344827586207,0.226890756302521,0.6127701587049404
linear_svc,0,0.73,0.35374149659863946,0.9285714285714286,0.2184873949579832,0.6085684780326716
linear_svc,0,0.74,0.3424657534246575,0.9259259259259259,0.21008403361344538,0.6043667973604027
linear_svc,0,0.75,0.3310344827586207,0.9230769230769231,0.20168067226890757,0.6001651166881338
linear_svc,0,0.76,0.28368794326241137,0.9090909090909091,0.16806722689075632,0.5833583939990581
linear_svc,0,0.77,0.28368794326241137,0.9090909090909091,0.16806722689075632,0.5833583939990581
linear_svc,0,0.78,0.2589928057553957,0.9,0.15126050420168066,0.5749550326545203
linear_svc,0,0.79,0.2608695652173913,0.9473684210526315,0.15126050420168066,0.5752926423776803
linear_svc,0,0.8,0.24817518248175183,0.9444444444444444,0.14285714285714285,0.5710909617054114
linear_svc,0,0.81,0.24817518248175183,0.9444444444444444,0.14285714285714285,0.5710909617054114
linear_svc,0,0.82,0.24817518248175183,0.9444444444444444,0.14285714285714285,0.5710909617054114
linear_svc,0,0.83,0.2222222222222222,0.9375,0.12605042016806722,0.5626876003608736
linear_svc,0,0.84,0.19548872180451127,0.9285714285714286,0.1092436974789916,0.5542842390163357
linear_svc,0,0.85,0.183206106870229,1.0,0.10084033613445378,0.5504201680672269
linear_svc,0,0.86,0.183206106870229,1.0,0.10084033613445378,0.5504201680672269
linear_svc,0,0.87,0.183206106870229,1.0,0.10084033613445378,0.5504201680672269
linear_svc,0,0.88,0.16923076923076924,1.0,0.09243697478991597,0.546218487394958
linear_svc,0,0.89,0.15503875968992248,1.0,0.08403361344537816,0.542016806722689
